Protein1,Protein2
Q14498,Q7Z2K8
Q9UH99,P61964
Q5VSY0,Q8N0Z3
O00212,O43663
P02647,O94887
Q12873,Q9NVK5
P42345,P41252
Q16666,P0CB47
Q86UY6,O43663
Q9UN86,Q8N8L6
Q9BZV1,O43164
Q96MT8,P36957
P35222,Q05397
Q76FK4,Q8IV63
Q03113,Q08AD1
Q04637,Q8N6H7
Q9BZB8,Q8IYX3
O43776,Q8TDM6
Q5TCQ9,O43752
Q14511,P68400
Q08945,Q8TB24
Q02218,P55735
Q15149,Q8WWF5
P07332,Q9BT25
Q969H0,P51149
Q9BY77,Q92769
Q02410,Q7L591
Q3SY00,Q13618
P23508,Q96I59
Q9Y6K9,Q8NEY1
Q9Y6J0,Q02156
P41212,Q92667
Q5XPI4,O75400
P51572,P14678
O75934,Q9P258
Q9HCH0,Q9GZR2
Q5PSV4,Q5S007
Q13033,Q9BRS2
P62826,Q8WWM7
Q86VM9,Q8IUH3
Q5T9A4,P42694
Q9H4M7,Q8WTS6
Q9H6S0,Q8NE71
Q2TAC2,Q9UI08
O94992,Q53EZ4
Q92541,Q8TEW0
Q71SY5,Q8NE71
O76071,Q9UHD2
Q9ULJ8,Q8NEV8
Q9UGI0,Q5VT06
Q9BYM8,O43426
Q9P265,Q86VV4
Q14142,P55196
Q9H4M7,Q9GZS1
P51970,O00311
P78527,Q8NEY1
P35222,P50570
Q9HBD1,O14757
P35611,P43403
P07948,O94986
Q9Y6K9,P51159
P50402,P43243
O43463,Q9Y5S9
Q13625,Q9HCE7
P55072,O76094
O60716,Q96KB5
O75530,Q13286
Q7Z419,Q15118
Q8WU20,Q12797
P36915,Q12849
P55058,Q15907
P49736,Q9Y4B4
O14949,P27708
Q9C029,Q92597
P78406,P62318
Q8IXZ2,P49761
Q8IZW8,Q12834
P54257,Q13352
Q9NRD5,O75570
Q4G0J3,Q9UM54
Q14974,Q13033
Q15427,Q9UKG1
Q96DI7,Q9GZY8
P28066,Q8WV44
O94972,P62753
O95758,P50548
Q05655,Q96RK0
O14733,Q6PI77
Q13200,Q9BZF1
Q969H0,Q7Z419
P09012,Q8IWW6
Q9NVK5,Q16659
P61289,O14965
Q9ULU8,P46199
P68400,P51948
Q9H8V3,P62316
O95751,Q9H2D6
Q8NA72,P24928
Q8TAD8,Q9BRK4
Q8TB45,P33993
P20042,Q8N488
P04792,Q00610
Q8WYN0,Q9UG22
Q14674,Q02218
P51149,P51116
P42345,Q13191
Q69YN4,Q9NV06
Q9BVK6,P07910
P61421,O95751
Q96EP0,Q92888
Q13439,P62995
Q02241,Q14CX7
Q5T7V8,Q9BYN8
Q9BYN8,Q9ULJ1
Q96KQ4,P06733
P28066,O60763
Q99614,Q14498
Q15058,P49257
P02545,Q4G0J3
Q99704,P51955
O14964,Q96KS9
P37198,P29144
Q9HC77,Q9BYE7
Q9Y580,Q969H4
Q99700,O43482
Q9H8Y8,Q92900
Q15058,Q15363
Q5S007,Q9BXL7
P14222,Q96TA2
Q9Y230,Q8TDM6
Q96I25,Q07666
P51957,Q12955
Q96EP1,Q9HBD1
Q9UHD2,Q9BRL6
Q76N32,P35222
Q13825,O94964
Q9BYZ2,Q32P41
Q9UK73,O60674
Q14203,Q8NCB2
O14965,Q99615
Q9NWB7,Q00534
Q92769,Q92530
P14868,Q9HAU5
P78332,Q96FV2
Q9BWF2,O94972
Q70E73,P20936
O95219,Q9H0E2
Q9NPF4,Q9NW13
Q9HD33,P61978
Q12873,Q13131
P17480,P38606
Q13469,P34947
A6NHR9,Q14155
Q6IA86,Q5GAN6
Q15723,O96017
Q9H2J7,Q8N960
P19878,Q9UMS6
Q12770,P34897
Q9H4M7,Q9P2D1
Q5VIR6,Q9P0B6
Q5S007,Q8TAD8
P78362,Q92966
Q7Z699,Q53T94
P11182,Q9H4M7
Q14684,Q6P1K2
P46937,P09496
P62308,Q9Y616
Q6ZW31,P02774
P04629,P30085
O15085,Q86X02
P24928,Q96A49
Q9NVU0,Q8IUD2
O43264,Q15025
Q8NCN4,Q9Y2D8
Q96MH7,Q13064
P35222,Q9BT92
Q64LD2,P15924
P10515,Q07666
Q9H8V3,P02768
O14974,P60468
Q13976,Q00534
Q8TDY2,Q6UVJ0
Q9P2W9,Q14974
O95218,Q9UPN9
Q99436,Q9Y4C8
Q9UJC3,Q14444
Q2M1P5,P08621
Q9Y5M8,Q9BRK4
P41252,O94826
Q14318,Q8NDV7
A1X283,Q13618
O43593,O75821
O14777,O75815
Q9H4M7,Q8WWM9
O94868,P35249
Q9NVX0,Q9H7C4
Q9UQB8,Q96AX1
Q15006,O43236
Q16533,Q9Y6G9
Q13617,Q99959
P55072,P22061
Q9Y291,P56537
Q9NRD5,Q14990
Q8WUA2,O14654
Q96E11,Q9ULH0
P62316,Q86Y07
Q8TF46,Q02156
Q9UGN5,Q5TCZ1
Q13191,Q709F0
O60308,Q17RB8
Q96CW1,Q15723
Q9NPH2,P42336
Q5U651,P42336
P49821,P19838
P08621,Q5T8D3
P60033,Q9BZF9
P18206,O75663
Q9Y5J1,Q8NBP0
Q8IWX8,Q16186
P17600,P49792
O43390,Q07065
Q5VZ89,O75934
Q14457,Q8IX90
P62316,Q15036
Q13137,P17480
Q6NSX1,P55196
Q15287,Q9UJX2
Q9Y5B9,Q96G01
P31943,Q68CZ1
Q13501,Q8WVM7
O95816,Q92538
Q6VMQ6,Q969H0
O60674,Q6P4A8
Q5VT06,P49821
P78362,Q8IU81
O94972,P34897
Q9C0B0,O43390
P11308,O75554
Q93034,P41252
Q9BZJ0,Q8N9I9
A5D8V6,Q5VIR6
P07948,O75821
Q16082,O95758
P50542,Q6IQ23
Q15363,Q10567
O14578,P31948
P56945,Q5T4F4
P35222,Q9H6S0
O14979,Q69YN4
P46778,P54819
Q9BRS2,Q71RC2
Q14690,Q6IQ23
Q13356,P14866
P26368,Q9Y275
P55072,P11532
Q9Y4J8,Q6Q0C0
P13569,P61764
Q9H5K3,Q15637
Q9Y5B9,Q2TAC2
Q9Y5K6,Q8N684
Q8WXH2,Q9ULD6
Q16543,Q9NW13
P98082,Q96JH8
Q8N9H9,Q9BZE9
Q14498,Q8NFH4
Q14247,Q15154
P37198,Q6WKZ4
P0C2W1,Q92630
Q63ZY3,Q12834
P62306,Q9Y3M2
Q709C8,Q96CV9
Q96PK6,P23508
O43255,Q86XR8
Q9NSV4,P10636
Q5SQH8,P34925
Q9UPQ9,P41743
Q9H9E3,Q96CW5
O94992,O75425
Q9NUQ6,Q15058
Q504Q3,O95758
Q92503,Q9UNE7
Q9NRD5,P33241
Q9HCC0,Q5XPI4
P25788,P49840
P20290,Q92530
Q96PV0,P49736
P51116,Q9Y6K9
P51991,Q9ULD2
P62304,P47712
Q9NZJ4,Q16531
Q6P3X3,Q92786
Q96EV8,Q9NVI1
Q9H4M7,Q9HCM3
Q8N5H7,P03950
Q13901,Q96PU5
P20962,Q8IUW3
Q2KJY2,Q8N684
Q96RK0,Q92575
O95299,P49721
O60333,Q14498
Q13418,P49821
Q8N0Z3,Q00653
Q969U6,Q9UHD8
Q14596,O94874
O15226,P21860
Q9BXF6,Q9C0J8
Q96PY5,Q8WU20
O43347,P62873
Q0P5N6,Q00987
P55072,Q9BRK4
Q9Y297,P40763
P46108,P46734
O75791,P41743
P40926,Q9P270
P33981,Q15287
Q9Y4W6,Q9P0L2
Q7Z699,Q9NVN8
Q9UG63,P31943
Q1L5Z9,Q9C0E8
Q13835,P46821
P14373,Q9BQG0
Q9NZL4,P36406
P42858,P13569
Q9Y4H2,P14373
O14578,P84550
O00459,O95153
P52630,Q9NP31
Q9H078,P46934
Q86UW6,P13569
Q12873,Q5HYJ3
Q9NZC9,Q9H6S0
Q15696,P40939
Q7Z4S6,O75716
Q96RQ1,Q8TEW8
Q9BY77,Q13616
Q9BYG3,Q92974
P31943,Q9NTJ5
Q9Y4K3,P35573
Q9Y4C8,Q567U6
Q9H3P7,Q9BYV6
Q9UJU6,Q6PKG0
P23246,Q5T8P6
P07910,P43246
Q05655,O15360
Q96EK5,P05387
O60573,Q86V81
P61964,Q13042
P30260,Q92597
P62995,Q05397
O14836,Q9NQS7
Q4G0J3,Q9Y5X1
Q9Y613,Q5S007
Q9H3E2,Q16531
Q9BYF1,Q9H6T3
P57078,P49736
Q8WUA2,Q96EP0
O14757,O15155
Q9NYZ3,O95347
Q9NQW6,P49915
Q3SY00,Q9NYY8
P36894,Q6PKG0
Q9UK99,Q5T9A4
Q9BVS4,Q86Y07
Q08426,Q9NYZ3
Q08379,Q9NPC3
Q9H2D6,Q16576
Q9H4M7,Q96MY7
Q9Y388,Q6KC79
Q9BQ67,O60285
Q96PU5,A7KAX9
P01241,O60763
P61587,O95232
Q4G0F5,Q9UPT8
Q5T9S5,Q8NDI1
Q5BJF6,Q9H6U6
Q9Y2V7,Q16543
O14757,Q9H2D6
Q96RU3,Q13620
Q9BRX2,P10636
O14544,P11182
P56945,Q9H000
Q9HD26,P51617
Q8N122,Q15669
Q8N568,Q5VIR6
P53618,Q9Y4P3
Q9Y3D8,P42704
P19838,Q96F07
Q14444,O95816
Q9NWH9,Q14457
Q9UBN7,Q5VU43
O95429,Q16666
Q6ZVC0,O14745
P07949,P05129
Q2LD37,Q9UKG1
Q08378,O95835
P52272,O14647
P30084,Q9NR46
O14730,Q8NBP0
P04264,O14776
Q02790,P40925
P31943,Q14204
Q8N5G2,Q9BWW4
O94972,Q9UQL6
P43243,Q8TB45
P82094,Q9NYY8
P38398,Q9ULE0
O75925,Q96KN7
Q8TCJ0,Q9BPX5
Q96A49,Q9NX18
O14578,Q13393
P15924,Q7Z699
Q8N488,Q7Z4H7
O94972,Q9H8V3
Q15464,O96017
Q96J01,Q9P2R3
Q9NPF5,O43678
P10636,O43283
Q8N4C6,P49257
O14746,P14866
P00540,Q9NYY8
P62310,A7KAX9
Q96MH6,O95782
P50402,Q9H2D6
Q13616,P21673
Q92974,Q9H792
O75182,Q8TCJ0
Q8IXJ9,Q92974
Q14258,O75553
P50897,Q13620
Q08379,Q13263
Q86X27,Q8ND24
P07910,Q86Y82
P25098,P38398
P49257,P08621
Q9BT25,Q6IA86
P46937,Q9Y2D8
Q9H4I3,O15143
Q99759,Q15154
P55072,Q99959
P14373,Q13618
Q5JTH9,Q9HCE1
Q99961,Q8WXK4
O14777,Q9UBQ5
P28370,Q9NWU5
Q9ULU8,Q9UHF3
Q8IZD9,Q8WWX0
Q92466,Q969H0
Q08752,Q9HD26
P08621,Q92888
Q2M329,P31943
P32970,Q14258
Q9H7L9,Q9HCE7
O75934,P36542
Q3B820,P13569
Q99816,Q8IVF4
Q13148,Q9C0B0
Q9UGI0,Q15058
Q8IYB1,P14866
Q53GS7,Q6ZRS2
O15016,Q07666
Q9UBN7,Q86UP2
P27708,Q9NR31
Q9HB71,Q9BXY8
O43310,O75570
P43034,Q16543
P33993,Q9Y2S2
P38398,P20618
Q8TBB1,P41247
Q9UBC2,Q8N5G2
Q9NPF5,O43353
P31948,Q9UBQ7
Q9HCM9,P26368
P04629,Q2T9K0
Q9Y3F4,Q15831
P05387,Q96R06
Q8IZQ1,O95816
Q9HCD6,Q13114
Q96CV9,O15550
Q0P5N6,O14776
Q9BQ67,P35712
O95478,Q9NX70
O43347,Q7LC44
Q96D46,O75925
P42704,Q15669
Q9HCC0,Q76FK4
P06576,Q99550
Q8NE71,Q8TC92
Q9BYT3,P55072
P49137,Q15714
Q9UDY2,P50542
P35222,Q9UJX2
Q96AD5,P42858
Q92769,Q9UBK2
P21860,Q6NXR0
P24928,Q9NWT1
Q9Y6K9,P53041
Q14142,Q9Y3D6
O95816,Q15291
Q9C0B0,Q15287
Q12988,Q1L5Z9
P43307,Q6WCQ1
Q08426,P30154
Q96DI7,P56962
Q8NFZ5,Q8NFP9
Q13263,Q4G0X9
Q08945,P20618
Q5VT25,P36507
Q9NQB0,Q8NHQ1
Q15291,Q7Z333
Q12849,Q6IPM2
Q00613,Q9Y4G6
Q9C0F1,Q9Y3C5
Q66LE6,Q99661
Q14244,Q9H425
Q86Y07,P98175
Q9UF11,O95721
P53667,Q495M9
P61764,P35228
Q96CW1,Q9Y5W7
Q9BT25,P22830
Q13617,O60293
Q5T8D3,P51572
P61978,Q8IWT3
Q9H6L4,Q00059
O43402,Q6E0U4
P37198,Q9BT25
Q8N5V2,Q99961
Q92615,Q8N6H7
P26368,O95140
Q15393,Q96RP9
Q99747,P62913
Q8NEY1,Q9Y3Z3
O75962,Q13490
P46940,Q9HB63
Q96M89,Q92574
Q96RK0,Q13114
Q13905,Q86UY6
Q16513,Q9NPJ6
Q8IYX8,O75970
Q6UB98,O15049
Q99436,O95816
Q969U6,Q05655
Q13263,Q9P2N5
O15294,Q15006
Q16531,Q08378
Q92630,Q8TCJ0
P61221,Q9BPX5
Q14151,P52790
Q12788,Q8WUM0
P62753,Q9NRL3
A5YKK6,O95816
Q9NXL9,Q9HAQ2
Q4G0J3,Q7L591
O75146,P26368
Q5XPI4,P11532
Q9NP79,Q9H4M7
P11498,O00232
P43405,P27708
O43752,P52272
Q06587,Q9UQC2
Q9NST1,P61289
Q8NA72,O14641
Q96E11,Q99615
Q13042,P49366
Q96H55,Q86XL3
Q96T51,O43824
Q9Y2I8,Q96CW1
Q16512,P62258
Q15006,Q8TCJ0
Q9NQG5,Q9NZ71
Q6PKG0,O14645
Q6ZUJ8,O43175
O15417,Q9UK22
P12004,Q13163
O75533,Q92599
P25205,Q8WVZ1
P21359,Q13242
P12956,Q9NNW5
Q9BZF9,Q8N1B4
Q14315,Q9Y4C8
Q9UM54,Q96RQ1
Q8NDV7,Q15363
P14866,Q3MHD2
P14866,Q9NNW5
O94992,Q14667
Q9P031,P40939
Q9ULJ8,P41273
Q69YN4,Q15382
Q9NXH9,P55058
Q01844,Q9UI08
Q9H6T3,P49756
Q9BPX5,Q86WA8
Q96B97,P30414
Q96BD5,Q96S90
Q9BXM7,P28288
P42858,Q12955
P55072,P15559
Q86Y33,P53805
P14866,O94822
O60826,O94992
Q8N488,Q8NHQ1
Q32MZ4,Q9NW13
P04114,Q14966
P35222,P21860
Q9BSD7,P78317
P61964,Q17RY0
Q08999,O75821
Q8TES7,O00541
O43390,Q9NPJ6
Q99661,P18206
P41212,P56945
Q9NP66,P46937
Q9UII4,Q04637
Q13637,O60566
O15482,Q7L5Y9
Q9H3R5,P11274
Q86VM9,P36888
P60900,Q9Y6S9
O43542,P35222
Q13148,Q9NZ71
Q13200,P49755
P49756,P49792
Q12955,Q05086
O15078,Q8IUR7
Q9NZ43,O75970
P28288,P06733
Q9Y4G2,Q9NRG9
P51991,P62304
Q9H0I9,P02649
P55196,Q96CW1
O94964,Q9ULJ8
P46934,Q99959
O94989,Q9Y6G9
O00499,Q13263
Q01081,P07332
Q86YC2,Q15291
Q9UNH7,Q9P2R7
Q15811,Q13356
P18545,Q9NV31
Q15050,Q13510
O43252,O43172
P62753,Q9P0V3
Q02241,Q15628
P49257,O15169
Q9H788,P38398
Q02241,O15294
Q8WWM7,Q9BQA1
P20290,P55196
O75935,Q6PJT7
Q8ND30,Q9HCE7
P42704,O00212
Q13418,Q9HBD1
Q13049,Q05655
Q9UBB4,P60033
O43318,Q8WVV9
P31943,Q8NEG5
P25054,Q99623
O43426,P30566
Q676U5,Q9UBN7
Q9C0C7,Q9H788
Q16186,Q9Y4J8
Q9P1Q0,O60237
O00443,P26368
Q13137,Q13200
Q92805,Q96DC7
P09012,Q9H0E2
Q9H6S0,O95816
P38398,Q96PU8
Q99623,P07910
Q6ZNE5,Q12965
Q9UK00,Q92574
Q86TG7,O76094
Q14966,Q02241
Q8NCM8,O75385
Q4G0J3,Q17RY0
Q15139,Q9H7L9
Q9Y6E0,P30260
O00189,Q69YN4
Q15007,Q96JC1
Q8N5H7,Q92615
P62304,Q96EV8
Q86VM9,Q92466
Q99728,Q8TB24
Q27J81,Q9Y2X0
Q9H4M7,Q6ZW76
O15085,Q4G0J3
Q63HN8,P48736
Q6ZNJ1,P18206
Q96B97,P52732
P28370,Q13049
O43660,Q96RP9
P57723,Q5S007
P35228,P46821
P11177,P33991
P98170,P55209
P37173,Q12774
Q8TBB1,Q3KP44
Q9NZJ5,Q8TBB1
Q92804,Q8N6M5
P25788,P28331
Q96T17,Q9BTW9
Q9H9E3,Q9Y297
A4D1P6,P62318
Q9H4A3,O43663
Q9UBF8,Q9UJZ1
P07910,Q9Y4J8
P0C1Z6,Q9H270
P62318,Q8NB46
Q96PU8,Q00059
Q9NWH9,Q6WCQ1
Q4V328,Q14008
O43482,Q9HCE1
Q9UKE5,Q8N488
P04792,Q9C029
Q9NQU5,Q9H814
Q14999,Q14247
Q9UPX8,P14373
P60606,Q15427
P12757,Q9NV06
Q9Y2D8,Q86U42
P46199,Q6PJT7
O75179,O15226
Q9Y4I1,Q9BZF3
Q9Y2V7,P46934
P46937,O60508
P04629,P37198
Q02880,Q9NUQ8
O43166,Q5TC12
Q9UJW0,Q99972
Q14527,Q9NRA8
Q8WXH2,O75665
P49454,Q14258
Q7L190,Q8TDW5
Q6IQ23,Q5T440
Q8N122,Q9UPT5
Q5SW79,P48029
P35249,Q8NFZ5
P55072,Q99436
Q12788,Q5VT52
Q00534,Q8IYP9
P62913,O75400
P34947,Q8WUZ0
Q9HD33,Q9UJC3
O60333,Q9NTJ3
O95235,Q92918
O00459,Q9H0E2
Q9P0L0,P49959
Q99704,Q8WXI2
O75083,Q96RR1
P43405,Q9BZF9
Q9Y608,P14174
P11308,Q5HY92
Q01844,Q9NRC1
Q5VYY1,Q9H081
Q8NFZ5,O75208
P78362,O43463
Q15154,Q14C86
P26651,Q15555
Q9BXM7,Q9BUI4
Q92769,O75154
Q6YHU6,P54105
P46940,O43164
Q5T200,Q8IYW5
O14920,Q9P2R3
P42858,Q13023
P28070,Q9H4M7
P61289,P34897
P35658,P26378
Q96A19,Q9Y446
Q6ZU52,Q16543
Q9ULV5,Q96S44
Q9NZ56,P28066
Q9C029,Q15118
Q14678,Q4G0J3
Q6ZU80,P42684
P46937,Q9HCK1
Q8IXT5,Q8TDY2
O95376,Q9Y2L1
P38432,O95861
Q969H0,Q9H0A6
Q9H8V3,Q14692
P54252,Q9Y5W8
Q9GZV5,Q9ULW0
Q8TD31,O75665
O95478,Q6XZF7
Q4G0J3,O95235
P25789,O14641
Q13435,Q8IZT6
P52209,Q9NPG2
Q9BVP2,O14733
O43390,Q13009
Q92567,Q13618
P61964,Q9NVI1
Q8IZL8,Q9NP31
Q13873,Q9H4L7
Q53TQ3,O43663
Q8NE79,Q9BRA0
Q14789,Q9NYB9
P61978,Q96DX4
Q9BXM7,O94906
Q93034,Q9UBC1
Q9NQ76,P12757
Q15025,Q16576
P55196,Q7L5Y6
Q8TD08,P11182
P98179,P43405
A4UGR9,Q13724
Q86UY6,Q92543
Q5HYJ3,Q9UQE7
O00461,P23942
Q86UY6,Q8TD55
Q9BZF1,Q8TEB7
Q9Y3F4,Q9NRL3
O75449,P52701
Q9H0H5,O94992
P51991,Q8IUH5
Q96EZ8,P31943
Q68EM7,P25786
Q9BX66,O00116
Q9BXW9,Q9H967
Q8IZL8,P25054
Q9BQS8,O95478
Q96CV9,Q13617
O95900,Q9HBD1
Q9BYE7,O95714
Q9NV06,P50995
P21359,Q13049
Q96CW1,Q96E11
P49736,Q9BRR9
Q9H267,Q96CS2
P57078,Q9H204
Q8N4C6,Q9BY77
P52272,Q86TS9
P55072,Q9Y446
P49137,Q6W2J9
P07919,Q96AJ1
Q7Z699,Q9UBB6
P62314,Q8WVB6
P49257,P41236
P13569,Q9BVN2
P35240,Q92911
P57078,P04629
Q9Y4K3,Q9NQ66
Q9UK00,O43463
Q86U86,Q9BTA9
Q9NV92,P62913
O00559,Q15029
Q13356,Q9BX66
P52948,Q8IZL8
Q08345,Q99728
Q92625,Q13435
Q9C0B0,Q9Y228
O00499,P60174
Q8WXH0,Q9UBB6
Q15542,Q5XPI4
Q14966,Q96I59
O75530,P08581
Q8WWN8,Q8IUH3
O15016,Q9UMS4
Q8WXA9,Q07065
Q8WWI1,Q9HCE1
Q15029,Q9NXC5
O43663,Q96CW1
Q9UJY1,P49792
P10721,Q9H4M7
P28072,P50402
O95835,Q96R06
P53355,P04792
P25705,P06400
P36406,Q2TAC2
Q13263,Q96RQ1
Q9UBU8,Q05397
Q8IY31,Q15139
Q96N67,P31943
Q8N4C6,Q13148
Q5S007,Q9ULK6
P50542,Q8TEW0
P25963,O43593
Q9H4M7,Q9UPS8
O14579,P61962
P42858,Q70J99
Q13131,Q9P253
P42226,Q9UQL6
O75494,P55072
Q9UFG5,P0DPB3
Q9NRI5,Q6PF18
O95163,Q15276
Q8NCB2,Q8N488
Q9Y680,O95071
Q93034,Q8WZ74
O95835,P26368
O60341,Q01844
P08133,Q00537
Q9NVE4,P35222
A7KAX9,Q14498
Q6PUV4,Q9H4M7
Q9BZF9,Q6NSJ2
Q9UPZ3,Q86UU1
P25789,Q8NEY3
O75570,Q9BVS4
P14373,Q96AJ1
P61289,Q8WUM0
Q15334,P60900
Q8WXK4,Q05682
Q4V328,O43175
O14578,Q9BYN8
Q8WU90,O60716
Q9UBU8,P50570
Q5SZD1,Q14847
Q15427,Q9H8Y8
Q8NFZ5,P36542
P62310,Q6PI77
Q14676,Q8HWS3
P35227,Q9UHX1
Q12849,O14920
Q15118,Q9HBD1
Q13009,Q13671
P13569,P35638
Q8N9T8,P05783
Q9Y6K9,Q96MG2
P78317,Q6UVJ0
Q7L5Y9,Q9HD26
Q969H0,Q8WV28
Q92667,Q14194
Q15650,Q9BXL8
Q99623,Q9H2J7
O43809,Q14457
Q15696,Q99675
Q15051,Q9BXL8
Q9NZN4,Q96SB8
Q14142,Q9HCE1
Q96PE2,Q99623
A8MTA8,P28072
O15259,Q9H000
Q6PKG0,Q9UQL6
Q8IVW4,Q9NYG5
Q13114,Q16531
Q14566,Q13075
Q02241,Q15025
Q9NP66,Q13490
Q13618,P12755
Q9H6Z4,Q96PK6
Q2TAA8,Q9NS91
Q15393,Q13114
Q9NRZ9,O14907
Q3B820,P29323
Q13469,O94850
Q53GS7,Q8IYB1
Q9Y2R5,Q14789
Q9Y4K3,Q9BYB0
Q5T5P2,Q9UPV0
Q04323,O94804
Q5T8D3,Q9ULH0
Q3MHD2,P61218
Q13287,Q5JTH9
Q13148,Q13469
P04629,Q5T5P2
Q9BTD8,Q9ULV5
Q00987,P35711
O60341,O94992
P31350,Q69YU3
Q14999,P46108
P51991,Q92538
Q14596,Q7Z2W9
P13196,P16435
Q13310,Q14152
Q9UPQ9,O00232
Q9HCH0,Q9H788
O15020,O60518
Q9UPQ4,Q9Y6K9
Q14258,Q99728
O00212,O14556
Q9H7L9,Q9NQW6
P09874,Q13769
Q9H4M7,O43818
Q9UBK9,Q9UHD2
Q9UQC2,Q9Y446
O43166,O14908
Q13163,Q96PM5
P57078,P51948
Q9HD33,Q9BXW9
O14757,P52306
Q9BV68,Q9BT09
Q9Y613,Q9P1U1
Q8N6H7,P49761
O43593,P18206
Q9P2B4,O14974
Q6ZTA4,P06753
P08621,Q6J9G0
Q96HA7,Q12873
Q99871,Q5SY16
A0FGR8,A1L4K1
O75694,O75347
Q14204,Q00987
O95661,Q9C0F1
Q03001,Q92619
Q8NEN9,O75145
Q14457,O15357
P06753,Q9NX20
P78362,Q5U5Q3
O15016,Q8N9E0
P28072,P04629
Q96RQ1,O95235
Q99549,Q86V81
Q8IXJ9,Q8NHQ1
Q66LE6,P42345
Q6P1L8,Q96QG7
Q9UPQ9,Q96Q42
O95373,P55072
Q13480,O14579
O15169,P15924
Q05682,Q96RK4
Q96T76,Q7KZ85
Q3B820,Q9UHB9
Q96FC9,O95900
Q13823,Q6JQN1
Q8N5G2,Q8N465
P20290,P38432
P62306,Q99590
P49736,Q5SY16
Q13009,Q13618
Q96Q15,Q8N122
Q9NX47,P19525
Q8N3Y1,Q9Y4D1
Q9UKE5,O14746
O95861,Q08AE8
P42338,Q9UJY1
O43390,Q9P2L0
Q9ULR0,Q96S15
Q8WV16,Q9UM82
P26441,Q16659
Q5HYJ3,P06733
O95071,Q5XPI4
P23508,Q12955
P46108,Q13188
P31948,P20290
Q5VWQ8,Q6VAB6
Q9NVX0,P78527
Q96NS5,Q8N6Y0
Q96MA1,Q99426
O75494,Q9BTT4
Q96R06,Q14444
Q5SY16,Q00341
Q7Z699,Q15287
Q96DB2,Q96L92
Q9BST9,Q13352
P60033,P54198
Q92538,P37198
Q99698,O95817
Q13310,Q8IXJ9
P49736,Q0P5P2
P15924,O14744
Q14687,O15169
Q9HCD5,Q99607
Q969S8,Q9NRD5
Q8N137,Q8NCE0
P55884,Q9UPQ4
Q07666,Q8N6T3
P36776,Q5T011
P40939,Q9NZ52
Q99871,Q9C0J8
Q9H6S3,O43768
O15440,P49406
Q5SSQ6,P78317
O95714,Q9UGN5
Q96RL7,Q9BV68
P33241,Q15154
Q96AQ6,Q9NRA8
Q9UER7,Q96DB2
O14964,P19525
Q9UQL6,Q8TEH3
Q7Z591,P20290
P52701,O60684
O60674,P31948
Q5S007,Q96PU8
Q16774,Q9BZC7
Q53GS7,O43752
Q8NDV7,Q96JN8
P36957,P62995
P03950,Q9UJ41
P31948,Q14152
Q27J81,Q9H9C1
Q9NWB1,P0CAP1
Q99424,Q8WWM7
O00515,P19174
Q86YT6,Q13310
Q15311,P50542
Q9BZV1,Q66LE6
Q86XK2,Q9H0B6
Q9BRK4,Q14152
P27144,Q6ZMI0
Q9H4M7,O15440
Q13625,Q12873
Q9NQW6,Q5BJF6
Q9UHD2,Q9H7C4
Q02040,P04843
Q15061,Q9NPG2
Q07666,Q92974
P49755,Q8IYQ7
P56945,Q9UK45
