Protein1,Protein2
O43402,P36776
P20963,O00763
P41279,Q9Y4K3
P60468,Q9NZJ5
Q14152,Q04637
Q13751,Q9UBB4
Q92615,Q9UN86
Q9NS91,O94906
Q8N684,Q9NRA8
Q562E7,Q13501
P46937,P46940
Q66GS9,Q8NEY1
Q8IUW3,P54252
Q9HBD1,P60228
Q16513,Q07065
Q8N465,Q9P253
Q14258,Q8IWX8
Q13263,P53621
Q99440,Q99871
P55072,P0DPB3
P38398,Q92945
Q15170,Q9Y4C1
Q6NVH7,Q3MIN7
Q15058,P40939
O43747,Q10589
O14976,Q13470
P13569,Q02218
Q13616,Q9UPQ9
Q14999,Q9UQ80
Q9H1I8,P22314
Q8IY18,Q96SB8
Q69YN4,O75150
Q92769,Q9P270
Q01804,Q9UPR3
Q86UY6,Q9UHX1
Q9H270,O15116
Q9NZQ3,P19174
Q9Y3C5,Q86Y13
Q8NHH9,Q8TEH3
Q9NRR6,Q9NQT8
Q15058,Q15393
Q9BST9,Q6ZW31
Q9NQW6,Q9ULJ8
O00212,Q9HAD4
Q6IQ23,P42694
P19021,Q92574
Q5HYJ3,Q8NDT2
Q69YN4,Q04637
O60566,Q16610
Q14999,P40939
P14866,P56945
Q9NV06,Q96QC0
Q8NFZ5,Q9UHD2
Q9NVC6,Q14C86
Q8TCG1,P55268
P46934,Q9P1Z2
Q8TB24,Q4G0F5
Q27J81,Q9UL15
O95235,Q16576
P01375,P41273
Q9UER7,P27037
Q9BYF1,Q6ZVF9
P24539,Q9UII2
Q86YT6,Q15050
P40855,Q08379
Q9ULH1,P19174
O75530,P46821
Q9BYV6,P20929
P43034,Q15555
O60508,Q15393
Q96K80,O75400
P54252,Q14204
O15294,P60228
Q9H6U6,Q8IUH5
P35240,Q6ZNE9
Q96EP0,Q14677
Q14999,Q15393
Q69YN4,Q5VST9
Q5SW79,Q9BR77
O00295,Q14674
Q08379,Q9P202
Q9UBN7,Q96IZ0
Q13148,P55884
Q9C0B0,Q92615
O43639,P42684
Q86U70,Q9Y5N6
P68400,Q9BT78
Q6PIJ6,O60293
Q5S007,O60610
O15169,O75925
Q00987,P51149
Q8N0Z3,Q9NSV4
O94874,O14617
Q7Z6Z7,P53041
Q8WTW4,O43933
Q6P2Q9,Q9H6T3
Q96AC1,Q99426
Q16082,Q9UPN9
Q676U5,Q8IZQ5
Q6ZNL6,P62826
P36507,P50548
Q5T7N2,Q9NXF1
Q8IYI6,Q9Y3L3
P01375,Q9NP58
Q5HYJ3,O94842
Q69YN4,Q9H6U6
Q69YN4,Q8IXM3
Q6ZVK8,Q9BTE0
O00212,O94901
Q9UPQ9,O75175
Q96RG2,P35568
O95503,Q9H6S0
P04264,Q00987
Q8TES7,Q8TEP8
O15530,Q05655
Q9HBD1,Q9UN86
Q15058,O76041
Q10567,Q6PGP7
Q9Y5Q9,Q8N488
Q86TB9,Q9BRK4
Q86UY6,Q9C0C2
Q99471,Q9NYB9
Q92783,Q13094
Q8N302,O43508
A1L390,O60341
Q8HWS3,Q8WW24
Q9GZS3,O75150
Q96EP0,P05783
Q9UHV9,Q9BVA0
Q8TBF4,Q4G0J3
Q9NRC1,Q99640
Q8WTW4,Q13608
O94986,Q9NVX0
Q8IYT4,P52732
Q969F0,Q16543
P35240,P08581
Q14155,O95835
O43663,P08621
Q9H267,Q9H425
P42704,Q9UJZ1
Q99436,P49721
P02766,Q08379
Q9HCE1,Q96PU5
Q9UL25,Q15276
Q96F24,O60341
P42356,Q8N3E9
Q9NYZ3,O75146
Q9Y297,O75052
Q8NFZ5,Q6ZWJ1
Q15154,O75330
Q9H4M7,Q9NXU5
Q9NZL4,O14976
Q8TDR4,Q53T59
Q9Y570,Q9UHX1
P25098,P12036
Q9Y4Z0,Q6PIJ6
Q13618,Q9NSI6
Q15811,Q5SZL2
Q9UNH7,Q9NRI5
Q96B97,Q9H0H5
Q15714,O43795
Q9GZT6,Q9NYY8
Q5S007,Q9BQG0
Q13501,Q9UL25
Q86VP1,P0CB47
Q3SX64,Q969U6
Q9Y4H2,Q8N122
Q14680,Q9Y3M2
Q9H4M7,Q9UBP0
Q9NRA8,P24928
O00116,Q08379
Q6IQ23,Q00610
P18206,Q9ULH0
Q8TES7,Q9NRA8
P31943,Q9ULV5
Q14498,P51149
Q13200,Q15773
Q8NEF9,Q969U6
Q15058,P42356
Q15154,Q5T5Y3
O75132,P58340
Q9BYB0,Q96R06
P42229,O43567
P17980,P25786
P14373,Q9HC52
O95271,Q9Y2J4
O95235,P52948
Q9NY99,P05783
O14773,P36776
O15294,Q9UN86
Q16531,Q8N3Y1
Q9H267,Q86SQ0
Q8WXH2,P29323
Q9P2K1,O75665
Q969H0,Q15393
O43809,P23246
O75821,Q13347
Q16543,Q9HCD5
Q14134,Q9Y230
Q13216,Q9UHV9
O95376,P62753
Q8TF42,P11274
Q15006,P40926
O15169,Q13625
P85298,Q14247
Q9P2A4,Q9C0F1
O15116,P14678
P35222,O43175
P23508,Q9Y295
Q15058,P25054
Q9Y2R5,Q14966
Q5XPI4,Q14687
Q9UQB8,Q6WKZ4
A5D8V6,O14964
Q8IXZ2,Q7Z2W4
Q7Z404,O60337
Q05519,P49761
O43663,Q8IXT5
Q03518,Q13769
P04629,Q96A33
Q13011,O94822
Q9NZQ0,Q8NB25
P13569,Q9H3U1
Q13200,P62191
O94874,Q96CW1
P42858,Q99797
Q9C0C7,P04792
O95816,P05165
Q05086,O00154
Q92734,Q96AW1
P14866,Q4ZG55
Q9UER7,P45973
Q9UGI0,Q96T17
Q14258,Q86XJ1
Q03468,O43719
Q92805,Q14C86
Q13627,P57740
O95613,Q99996
Q9UJC3,Q9HCC0
P01579,Q8WWI1
Q9NYP9,Q9BZF3
Q92667,Q9UJX2
Q08999,Q92878
O00267,Q92989
O14936,P62258
Q96PM5,Q8NE71
P04629,Q7Z4H7
Q9HBD1,P62314
O95299,O14949
Q9Y6M1,Q9UN86
Q969H0,Q13724
Q9BYZ6,Q9NU22
P46937,P61978
P50402,Q9Y4P3
Q96EZ8,O14576
P41743,P10636
Q16659,Q12955
P38398,Q9NVI1
P58546,Q8WVV9
Q92630,O95071
Q9Y3F4,Q92615
Q13627,Q9NVX0
Q96BQ5,Q96AX1
Q86Y82,P30273
Q9NZ43,Q86UA1
Q9HBG6,Q96RY7
P43034,O76071
P55345,P49720
P14373,Q13671
Q8IUD6,P22314
Q15020,Q71F23
O15294,Q9BZD4
Q9UJX5,P41567
P11274,A5YKK6
Q13617,P46778
Q16666,O15213
Q00610,P04843
Q13501,Q96IZ0
Q9HBD1,Q12849
Q9Y383,O75494
P23508,Q13617
Q9UHD2,Q9Y297
P42858,Q9Y6M9
P62753,Q9BYN8
O95816,Q68EM7
Q13239,Q13480
Q8N465,Q5XPI4
Q9HBD1,Q13523
O43663,Q9H0A0
P50402,O94901
O43683,O60566
Q8TDY2,P05387
P04629,Q6YHU6
Q13438,O15230
Q05397,O60674
P68400,P17947
Q9Y5U2,Q9HCS7
Q9UKV3,P78362
Q96EP1,Q96ST3
P15036,O95405
Q9Y6K9,P58107
O75031,Q6P1J6
P04629,Q96PE3
Q9P2D0,P22314
Q9UNE7,O75344
Q86UP2,Q8NB25
P13569,Q07157
Q96NL6,Q8WZA0
Q5S007,Q13618
Q15006,Q7RTV0
O14832,P29323
Q9NQW6,Q96PE2
O43752,Q9UBF8
P28072,P35573
Q99558,P08708
Q16633,Q9BY27
P15559,Q9BY77
Q13322,P27708
P52732,Q8N8R5
P07910,P51116
Q05086,P35527
Q14203,Q8NHV4
Q96T52,Q9BYN8
Q9BZV1,Q562E7
P37198,Q86SQ7
P36406,Q64LD2
Q8IZ41,Q14204
O94874,P62304
O95478,Q7Z2W4
P25787,P26368
Q92734,O94979
Q8N7W2,O00560
O14964,Q969V4
Q9H0E2,Q96AX1
Q9UHV9,O15212
Q9NR56,Q92597
O00212,O95295
O15294,Q12849
Q92615,Q5VSY0
Q9NW38,Q9BRK4
P07949,Q9BXW9
O14745,Q92887
Q9BZB8,O60333
Q9C0H5,Q9H792
P35916,P42338
P56945,Q9UPN3
O75716,Q15386
Q16630,Q13523
Q9GZT6,P18859
Q58EX7,P42773
Q9BSM1,Q13216
P49792,Q15050
Q9NQZ2,Q9NV31
Q9BX66,Q14289
Q96S44,P62826
P08621,Q16630
Q96A44,P38432
Q9Y250,Q96C24
O14654,O00499
P78317,A5YKK6
Q9BYD3,Q9H2W6
P51572,Q86Y07
Q8WUA4,P42345
Q02241,Q9Y5K6
Q66GS9,Q8N9Q2
P49257,O95801
Q4G0J3,Q9NVN8
Q13233,O14964
P25098,P08708
Q9UGI0,Q9UJX2
O43463,P17152
O14908,Q9H0E2
Q9BYF1,Q9UQB8
Q9BXW9,P31943
Q9NYB9,P42684
O95900,P49821
O75344,P27815
Q86UY6,P62826
O00322,Q9P0B6
Q96EA4,P78527
O60841,P47813
Q96KP6,Q8WXI2
Q86VM9,P62258
Q9UQ07,Q9H078
Q63ZY3,Q9Y3R0
Q6ZMZ3,Q86XL3
Q6ZNE5,Q15154
Q9Y4Z0,P54105
P49821,Q15006
Q9BWG6,Q9C0F1
Q15669,Q6WKZ4
Q8N684,Q8TBB1
Q9UBE8,O75175
O76041,Q9BRK4
Q3B820,Q9BRK4
Q13188,P27708
Q9BW83,P52306
Q7Z7L1,P60228
O43663,O15169
Q9Y6K9,P53621
P23246,P49914
Q969G3,Q96MT8
Q9H4M7,P02768
P61962,P41743
Q9H5N1,Q9H0B6
Q9NSC5,O60341
P78362,Q14669
P83369,O14744
Q15058,P02545
Q9BQA1,Q53EL6
Q8IVW4,P04792
O75694,Q9UNE7
Q13618,O75600
Q5SZD1,Q14315
Q08345,Q96DI7
Q14671,Q9HCJ0
Q9H4L7,Q9BV38
P12004,P51957
O75570,Q9BQ52
Q16186,P49721
Q9Y3C5,Q12846
P38398,P61289
Q8WXH0,Q96MT8
P98170,Q96CN9
Q9HCE1,O75323
O14647,Q8WV44
P36957,P40926
Q01844,Q8TEQ6
Q9H4M7,P62995
P26651,O75179
Q96B97,Q969K3
Q14498,Q9UQ80
Q9GZS1,Q9H6T3
Q8WU79,P49757
Q6NTF9,Q9HB07
O94986,Q9UPR3
O75208,Q5T9A4
Q14999,P02545
Q15058,Q14151
P43307,Q96AQ6
P02649,P06753
P23246,Q15653
Q676U5,Q9ULR0
P37198,Q8IYE0
O60240,Q96G97
O00444,O75592
Q9HCE1,Q9NUW8
Q9Y3D8,Q92597
Q9C0B0,P46937
Q6ZW49,Q8NCM8
Q05519,P49756
P01375,Q9UHD2
O60341,Q12873
P48436,Q9P2D1
P49914,Q9Y3Q8
Q9P2M7,P12270
Q01974,Q16633
Q15058,Q6P2Q9
P42704,Q9P2R7
Q9BZD4,Q7Z4H7
Q96JN8,Q13011
Q5S007,Q92945
O76071,Q9NRZ9
Q14690,Q8WTP8
P42229,P11177
P47974,P06576
Q96T49,Q8NHQ1
P56545,Q14999
Q14498,P40939
O94972,Q5VT52
P04629,P53618
Q13625,P49790
Q13620,P61964
Q92630,Q9UPS6
Q99816,P23246
P08559,Q86U42
Q14999,Q14151
Q9Y4A5,O94864
Q15058,Q13148
O95229,Q6P1K2
O14654,P42338
Q9BZV1,O43933
O43516,Q5S007
Q13618,Q96PK6
P11177,P55072
Q69YN4,Q9Y4H2
Q5T7N3,Q93034
Q9BZV1,Q8NEY1
Q9HCE1,O95704
P21359,O43896
Q92769,O75182
P98082,Q13435
Q15118,P49821
Q86UE8,Q16576
Q15393,Q14203
Q4G0J3,P62308
P55072,Q9H3R5
O60504,Q8N684
P38398,O14744
O96019,Q86U86
Q16576,O15417
Q14498,Q15393
O75083,Q16576
Q969X5,P04843
Q9Y570,P62826
Q9P1Y5,Q08AD1
Q9UBW8,O15417
Q9Y5N6,P49736
O00322,O75146
Q9NX70,Q9BWU1
Q8TDR4,Q9BQS8
Q6PJT7,Q15025
O95352,Q9BTW9
P07948,O60674
P14866,Q8NI35
Q9Y3A4,P12270
P62308,O43719
Q8N137,P53350
Q69YN4,Q9Y4G2
Q13825,Q9H2W6
Q14999,Q13148
O43639,Q8N5R6
P00540,P61289
Q2M329,Q9UBN7
P08621,P05783
Q9NW13,Q5JTH9
O95503,Q86SE9
Q9NZQ3,O95405
Q9HCE1,Q14203
Q96LU5,Q86TG7
Q13501,O95613
Q6ZU80,Q9UBT7
Q5T197,Q9NP78
Q9BZV1,P49754
Q14134,O43318
Q14676,P06733
P20618,P18206
Q8NCB2,Q6PJT7
Q7L0Q8,P06753
Q9UHF0,Q5JY77
P02545,Q5HYI8
P61587,Q6WCQ1
P34897,Q9BV73
Q8N6T3,Q5U651
Q9Y6H1,O76031
Q9BV73,Q7KZ85
Q76FK4,Q96FK6
Q08379,Q9Y2J4
O15530,P31751
Q13616,P61978
O00212,Q8WXH0
Q7Z699,Q14005
Q8N465,Q9BZV1
Q8N4C6,P25054
Q8IUS5,Q6UWP8
P40926,P34897
P19838,Q9UQL6
Q96AJ1,Q9P219
Q9C0F1,Q8IYX8
Q969H0,P02545
Q12846,Q8WUM0
Q9NYZ3,O95208
Q6IQ23,P12956
Q9BYF1,Q6P1N0
Q8NB16,Q9HD15
Q8NG66,Q14318
O75558,Q5T1M5
Q6RW13,Q9UKL6
Q14457,Q00534
Q96RK0,Q9BW19
Q13627,O94864
P60033,P48047
Q9BYF1,Q13242
P13569,Q96L92
Q12849,O94925
P35222,A7KAX9
Q9UHY1,Q16531
Q96CN9,Q8N6Y0
Q92538,Q7Z4H7
P49721,Q9BV68
Q9UJW0,Q5VYK3
P19525,O43390
Q08945,P49736
Q92574,Q9H2D6
Q5XPI4,Q5VYK3
Q9Y4P8,O95817
O94972,O00443
Q9NYZ3,Q9BRX9
Q9UBU8,P02545
O14777,P33981
Q8IUR7,O14964
Q86UY6,Q9NTZ6
P61964,P09543
Q16666,P21127
Q13418,P62191
Q6IQ23,Q10567
O14578,P56537
P46937,P29590
O14965,P42704
Q9H8V3,O43818
Q9NPF5,Q8N3L3
O00217,O96008
Q14847,P19338
Q9H4M7,Q9NZJ4
P25788,Q9Y4B4
Q8N443,Q9NRI5
Q9BTE6,Q6UVJ0
P23434,P48444
Q9UKE5,P25786
Q9GZT6,P24539
Q9Y2Z4,Q9BZV1
O43572,Q9NRI5
Q9NWB1,O75553
Q9H4M7,Q86UP2
Q9BQ24,P52272
O94986,Q86V48
P54252,O14654
O95714,Q14781
Q9HC77,O75665
Q15723,Q9UBU8
O95931,Q9HCE1
Q13617,P07910
Q9H4M7,Q6P1L8
P55072,Q9Y276
Q15058,Q14247
Q9BZV1,O94927
Q9UQL6,P35606
Q7Z404,Q8IZY2
P83731,Q9H6Z4
Q05655,Q8WWM7
O00212,Q9ULJ8
Q9H267,Q9ULL1
Q8TF74,O43639
Q15118,Q6ZRS2
P49354,P49454
P57078,P50402
Q9H0J9,Q96A37
Q6NXE6,Q9UI12
P51116,Q13137
Q9NQW6,Q96DB5
Q8TAD8,P07910
Q9ULH1,Q14289
Q9UQL6,P78527
O43390,P27816
P61587,Q9H267
O75528,P35222
Q9H000,Q6P2H3
P61289,Q15723
Q9BYG3,Q9NXF1
Q9HCE1,Q9P2D0
P04629,Q9NW82
O60566,O14777
Q9H267,Q15154
Q13618,P53355
Q8NFJ9,Q15154
Q9P227,Q00059
P49736,O60716
Q9Y5U2,Q15029
Q5S007,Q9NYY8
O15530,O95248
O00560,Q8TC92
O95835,P20929
P12755,Q9H4B6
O00267,Q9NRI5
Q15669,Q9BZH6
O75570,Q92947
O60641,Q15154
Q9UQB8,Q9NQT8
O43172,Q99471
P46937,Q2NL82
Q9UHX1,P42858
Q9BYV6,P06576
Q9NVD7,Q13418
O75787,Q9ULH0
P42704,Q6UB35
O15294,Q14CB8
Q96L92,P02768
P10636,P98179
O94986,Q6ZU80
O95801,Q8IWJ2
Q9UEU0,Q8IWR1
Q13469,P46940
Q9UEU0,Q14677
P08574,Q00610
P15924,P07476
Q9BRK4,Q8NHQ8
Q9BYF1,O95219
Q9BXM7,Q8WWI1
Q96T76,Q15645
Q13148,P31943
P34913,Q08623
P0C1Z6,O95749
Q96T60,O60341
Q99784,O95721
Q9UBN7,P53350
Q9NNX1,Q86Y13
Q6PKG0,P34897
Q12986,O15226
P04629,P22314
P08621,Q13310
Q99558,Q9Y3Z3
Q13627,Q86V48
Q9NRR6,Q9UBF8
P26368,P43243
Q05655,Q9P2D0
P37198,Q5T4D3
Q9GZY8,Q86UF1
Q92769,Q5VT52
P42858,P42345
Q86TB9,Q2M1P5
P25705,Q14318
Q9H4M7,Q9UBE0
P62316,P42858
Q96RG2,Q6WKZ4
O75031,Q4KMZ1
Q69YN4,P61201
Q13427,Q8NHQ1
Q96AJ1,P43307
P10721,Q9H0M0
Q92769,P49748
Q86TM6,O14818
Q96NL6,O75935
Q15118,P46199
Q96E11,P48047
Q9ULU8,O00154
P62306,O43172
P29372,P51116
Q9H967,P45973
Q8IX03,Q8IY63
O75530,P09012
P42858,Q8WXW3
Q86UY6,P62318
Q9NQW6,P84098
Q8TCG2,Q15147
O14777,Q86XK3
P78317,Q15758
Q9BYG3,Q9GZL7
Q86UF1,P20929
Q9BXM7,O15042
Q9BYF1,Q8IWJ2
Q53EZ4,Q99996
O00541,O15047
P11308,P07910
O00322,O60437
P52757,O43639
Q9BYM8,Q9BV68
Q00987,P02545
Q7Z7L1,O95714
Q9BQ67,P46940
Q9BQ67,Q7Z6Z7
Q13618,Q93034
Q6ZMZ3,P42694
O14920,Q9UGK3
P13196,Q9H788
Q8IYJ3,P19878
Q14596,P20290
Q9Y6K9,Q08378
O60861,Q15637
Q02241,O75694
Q13620,O15294
O95661,Q15751
P01375,Q9P258
P06213,Q12840
Q504Q3,P78527
O60333,Q96B97
P62304,Q9H6E5
Q96LU5,P22830
P52272,Q96PK6
Q96RK0,Q2NL82
P52272,Q15075
Q92538,P53618
Q9NTJ3,Q9ULT8
Q9H4M7,Q9BYD3
Q5S007,P20618
P12956,P23246
Q96GF1,Q9Y5M8
Q9P0L0,Q7Z6K3
Q00059,O43824
Q9UPV0,Q12788
Q9NRD5,Q3B820
Q6ZW76,Q13393
Q8N0Z3,Q96M89
Q96B97,O43663
P19338,Q8N2Y8
Q9UER7,Q9UBE0
P14866,Q8N8I0
P56945,Q99661
Q16533,O14929
Q99501,Q9Y6I3
Q86VQ0,Q9BRX9
P04792,Q13084
Q9NX08,Q9UP83
Q13671,P21860
O75815,Q13263
P31937,Q9UN19
Q3KR16,P35658
O94941,Q9BWF2
P14324,Q9BQC3
Q9UK32,Q9H4A3
P02649,Q16543
Q14498,P02545
Q12849,Q14687
P57075,Q8WW34
Q9NWB7,Q9UNF0
Q13148,Q9UBN7
Q10589,P60033
Q96PU8,Q8WVV9
Q9GZS1,Q8WUA4
O95163,Q6IA86
P57078,O43164
P28070,Q14997
Q5S007,P61289
O60293,Q9H000
Q8WVB6,P35249
Q9C0C7,P09543
Q9GZT3,Q8N983
P98175,Q15555
P07948,Q9H0H5
Q9UBK7,P01562
Q12849,Q9GZT3
Q9H7C4,Q96JN2
O60504,Q9UHY1
P12270,P25054
Q15154,Q9H2D6
Q9H3P7,P21953
P49454,Q9GZM8
Q8NHY3,P55209
P19174,Q7L0Q8
P09972,P78406
O95816,Q15334
Q8NHP6,Q9BSD7
Q99615,Q9NU22
Q6ZW49,P43243
P25705,P00558
Q15773,P00540
Q5T9A4,Q13084
O43663,P62304
Q96EA4,P62913
Q15058,Q9HD33
Q8TAP6,P38432
Q5S007,O43347
P08621,Q13427
Q6P4F7,P12004
P61962,Q99700
Q7L0Q8,Q5M775
O43663,A6NCM1
O75674,Q15075
Q8IY31,Q9H3R5
P01375,P52732
Q8TF76,O14974
Q9HCE1,Q8TEX9
P51617,Q8IXI2
P30154,O60674
Q12849,O76094
Q9BWF2,P40938
P40926,P49748
Q96RP9,Q8N442
P20290,P49748
O00267,Q9Y6K9
O95159,O60645
Q12934,Q53HC0
Q92625,Q3KP44
Q9NZ71,Q9P0J0
Q6P4F7,O43809
P78314,P43403
Q13322,Q8WW24
Q68CZ1,Q99550
Q5S007,O14744
Q14247,Q8IYI6
Q96G01,Q8IWW6
Q9HC77,Q8TEQ6
O95208,Q99549
P04843,Q96QT4
Q9GZS0,Q6NXE6
Q92800,Q9NWH9
P12956,Q8WYP5
O94874,Q9Y512
Q93034,Q86UA1
P08621,Q2TAY7
O14874,O60906
Q9UN86,Q99567
O75865,Q9UJY1
Q96RK0,P25705
Q14999,P20585
Q9H4M7,Q96QC0
Q14498,P78332
Q14318,Q96QT4
Q14244,Q15154
Q9C0F1,Q96RG2
Q6IQ23,P50402
Q49A88,Q9BT25
Q70UQ0,Q6Q0C0
Q69YN4,Q9BQS8
Q6IQ23,Q96EE3
Q9ULV5,Q03933
Q9UBB6,P25705
Q8NHV4,O14936
Q86UY6,Q9H814
Q8N966,Q8IWR1
Q9Y570,P13639
P53355,Q86XZ4
P09874,O15042
Q7L590,Q14566
Q8WXH2,Q9Y297
P14678,O43172
Q9BWT7,Q9Y6K9
Q15029,O75521
P32519,A6NHR9
O43543,Q9NYS0
Q69YN4,O95347
Q9H5K3,Q15363
Q07065,Q9NZJ5
Q14204,P21359
P46940,Q92614
Q9C0B0,P52701
Q96Q27,Q93034
Q15006,Q86UP2
Q9BZV1,P53621
P51572,P16435
Q8TAD8,Q9BRL6
Q8IZT6,Q9BVA0
Q96E11,Q5T1C6
Q8TBB1,O43933
O76071,Q07864
Q8N137,Q08945
Q13618,P43307
P32519,Q9UBU8
Q99623,Q7Z6K3
P35222,O14974
O95071,Q15061
P10636,Q92945
Q9BYB0,O94915
O95758,Q9H267
Q9UBD5,Q99741
P18206,O14964
Q69YN4,Q6IQ26
O94992,O95782
Q09019,O14976
Q969U6,O95248
Q92769,Q14444
Q9H4M7,P60468
O15155,Q9NZ52
O15155,Q9NR31
Q96H55,Q00610
Q9BXM7,O94826
Q4G0J3,O14744
P53779,O43379
Q7Z7L1,Q00341
Q9H0E2,O75962
Q9GZT6,Q6PML9
Q5XPI4,Q5GAN4
Q15058,P40938
P53667,Q13873
O95835,P98170
O43765,Q7Z419
Q15036,P06213
Q8WYQ5,P43246
P42858,Q96T60
P17152,Q6NSX1
P51116,Q96Q15
Q69YN4,Q7Z7G8
O00560,O95544
P25054,O95071
Q9GZT3,O94925
Q04912,Q13480
P34897,P49321
Q9UJU6,Q9H788
P53041,P31948
Q9BYD3,Q96EH3
Q96JP2,Q8IYX8
Q13901,Q9H0N5
P50402,A2VDJ0
Q96SN8,Q38SD2
Q14498,Q14247
Q8IYW5,Q07157
Q69YN4,P08574
Q9Y4K3,P51948
P55072,Q9NQY0
