,Protein UniProt Acc.,EC Number,isEnzyme
86864,P14373,2.3.2.27,1
86871,Q86WT6,2.3.2.27,1
86873,Q9C037,2.3.2.27,1
86877,Q9C035,2.3.2.27,1
86887,Q9NXH9,2.1.1.216,1
87213,Q12933,2.3.2.27,1
87217,Q6Q0C0,2.3.2.27,1
87218,Q9BWF2,2.3.2.27,1
87245,Q96F44,2.3.2.27,1
87246,Q9BZY9,2.3.2.27,1
87251,Q8WV44,2.3.2.27,1
87265,Q9BZR9,2.3.2.27,1
87268,Q8N7C3,2.3.2.27,1
87270,O75962,2.7.11.1,1
87304,Q32P41,2.1.1.228,1
87540,O95271,2.4.2.30,1
87554,O95985,5.99.1.2,1
87741,O60858,2.3.2.27,1
87742,O15344,2.3.2.27,1
87745,Q13049,2.3.2.27,1
87746,Q9BRZ2,2.3.2.27,1
88387,Q96PF2,2.7.11.1,1
88388,Q5TCY1,2.7.11.1,1
88545,P61086,2.3.2.23,1
88549,Q9NPD8,2.3.2.23,1
88552,Q9H832,2.3.2.23,1
88553,Q05086,2.3.2.26,1
88555,Q14139,2.3.2.27,1
88673,Q9Y5T5,3.4.19.12,1
88681,Q9HBJ7,3.4.19.12,1
88683,Q70CQ3,3.4.19.12,1
88686,Q6R6M4,3.4.19.12,1
88687,D6RBQ6,3.4.19.12,1
88688,A1L167,2.3.2.23,1
88693,P60604,2.3.2.23,1
88695,Q7Z7E8,2.3.2.23,1
88718,Q7Z3V4,2.3.2.26,1
88885,O94782,3.4.19.12,1
88895,Q70CQ4,3.4.19.12,1
88903,Q9H0E7,3.4.19.12,1
88916,Q8IWV7,2.3.2.27,1
88917,Q6ZT12,2.3.2.27,1
88950,Q9HAW8,2.4.1.17,1
88952,Q6NUS8,2.4.1.17,1
89870,Q9NNW7,1.8.1.9,1
89875,P07477,3.4.21.4,1
89895,Q9BXA7,2.7.11.1,1
89896,Q6SA08,2.7.11.1,1
89897,Q9BXA6,2.7.11.1,1
89919,P29597,2.7.10.2,1
90031,Q7RTZ2,3.4.19.12,1
90032,A8MUK1,3.4.19.12,1
90051,Q9Y2X8,2.3.2.23,1
90054,Q9Y385,2.3.2.23,1
90055,O14933,2.3.2.23,1
90078,Q8WVY7,3.1.3.16,1
90085,P61088,2.3.2.23,1
90090,Q7Z6J8,2.3.2.26,1
90562,P53804,2.3.2.27,1
90691,C9J2P7,3.4.19.12,1
90692,D6R901,3.4.19.12,1
90844,O75643,3.6.4.13,1
90858,P62253,2.3.2.23,1
90864,Q712K3,2.3.2.23,1
90942,O75317,3.4.19.12,1
90952,Q9Y2K6,3.4.19.12,1
90956,O75604,3.4.19.12,1
90961,Q86UV5,3.4.19.12,1
90964,Q70EK9,3.4.19.12,1
90969,Q93009,3.4.19.12,1
90974,Q9Y5K5,3.4.19.12,1
90975,Q9HA47,2.7.1.48,1
90987,P22310,2.4.1.17,1
91018,P30530,2.7.10.1,1
91055,C9JPN9,3.4.19.12,1
91459,A6NCW0,3.4.19.12,1
91460,C9JJH3,3.4.19.12,1
91461,D6R9N7,3.4.19.12,1
91462,Q0WX57,3.4.19.12,1
91662,Q9UPU5,3.4.19.12,1
91663,Q9BXU7,3.4.19.12,1
91665,Q96RU2,3.4.19.12,1
91670,Q9P275,3.4.19.12,1
91672,Q8NB14,3.4.19.12,1
91673,Q9Y6I4,3.4.19.12,1
91678,Q96K76,3.4.19.12,1
91679,Q13107,3.4.19.12,1
91687,P15374,3.4.19.12,1
91691,Q9NWZ5,2.7.1.48,1
91718,Q9HAW7,2.4.1.17,1
91721,Q3SY77,2.4.1.17,1
91774,P49459,2.3.2.23,1
92003,P54578,3.4.19.12,1
92004,Q9Y4E8,3.4.19.12,1
92013,Q9UPT9,3.4.19.12,1
92015,A6NNY8,3.4.19.12,1
92020,Q70EL4,3.4.19.12,1
92376,Q9Y606,5.4.99.12,1
92664,Q16763,2.3.2.23,1
92665,Q15386,2.3.2.26,1
92806,Q9UK80,3.4.19.12,1
92812,Q8IWV8,2.3.2.27,1
92814,O95071,2.3.2.26,1
92834,P35504,2.4.1.17,1
92837,P35503,2.4.1.17,1
92954,P30291,2.7.10.2,1
92998,P98170,2.3.2.27,1
93192,P38606,3.6.3.14,1
93698,Q9BYP7,2.7.11.1,1
93710,Q9H0M0,2.3.2.26,1
93844,O00507,3.4.19.12,1
94049,Q96JH7,3.4.19.12,1
94118,Q99986,2.7.11.1,1
94153,Q9Y4B6,2.7.11.1,1
94212,P0C1S8,2.7.10.2,1
94371,P35916,2.7.10.1,1
94459,O43895,3.4.11.9,1
94460,Q9NQH7,3.4.11.9,1
94602,Q9Y3S1,2.7.11.1,1
94604,Q96J92,2.7.11.1,1
94746,Q86Y07,2.7.11.1,1
95020,O00308,2.3.2.26,1
95868,Q9H4A3,2.7.11.1,1
95878,Q9NQW7,3.4.11.9,1
97540,Q8WTS1,2.3.1.51,1
98072,P00813,3.5.4.4,1
98477,Q96PN6,4.6.1.1,1
98743,Q2M2I8,2.7.11.1,1
98806,P42684,2.7.10.2,1
98839,Q96GR2,6.2.1.3,1
98903,P46952,1.13.11.6,1
98979,Q9BXI3,3.1.3.5,1
98998,O95336,3.1.1.31,1
99096,P00519,2.7.10.2,1
99524,P37023,2.7.11.30,1
100292,Q9NUB1,6.2.1.1,1
100345,O95573,6.2.1.3,1
100353,Q08828,4.6.1.1,1
100355,O60266,4.6.1.1,1
100358,O43306,4.6.1.1,1
100520,P06280,3.2.1.22,1
100607,P49902,3.1.3.5,1
100608,P21589,3.1.3.5,1
101387,Q9UKV5,2.3.2.27,1
101579,Q9UKU0,6.2.1.3,1
101582,Q9H6R3,6.2.1.1,1
101594,P07311,3.6.1.7,1
101640,Q08462,4.6.1.1,1
101646,O60503,4.6.1.1,1
102235,P08319,1.1.1.1,1
102427,Q16671,2.7.11.30,1
102745,P00325,1.1.1.1,1
102765,P28332,1.1.1.1,1
102929,P30837,1.2.1.3,1
102937,P51648,1.2.1.3,1
102942,P30038,1.2.1.88,1
104120,P07327,1.1.1.1,1
104122,P00326,1.1.1.1,1
104146,P40394,1.1.1.1,1
104183,Q9Y243,2.7.11.1,1
104224,P05062,4.1.2.13,1
104614,Q5FVE4,6.2.1.3,1
104849,Q6ZNF0,3.1.3.2,1
104930,O60488,6.2.1.3,1
104946,Q8NFM4,4.6.1.1,1
104947,O95622,4.6.1.1,1
104950,P51828,4.6.1.1,1
104951,P40145,4.6.1.1,1
105430,P36896,2.7.11.30,1
105432,P14621,3.6.1.7,1
105705,P05091,1.2.1.3,1
106412,P10398,2.7.11.1,1
107062,P04075,4.1.2.13,1
107065,P09972,4.1.2.13,1
107511,O15033,2.3.2.26,1
109315,Q8NFD2,2.7.11.1,1
109989,P07741,2.4.2.7,1
111506,P20020,3.6.3.8,1
111509,Q16720,3.6.3.8,1
111518,Q8NBU5,3.6.1.3,1
111564,O75110,3.6.3.1,1
111565,O43861,3.6.3.1,1
111976,Q9Y2Q0,3.6.3.1,1
111978,Q8TF62,3.6.3.1,1
112336,Q9H3M9,3.4.19.12,1
112337,P54252,3.4.19.12,1
112347,Q96GD4,2.7.11.1,1
112393,O60312,3.6.3.1,1
112409,P98198,3.6.3.1,1
112463,P15336,2.3.1.48,1
113065,Q8NB49,3.6.3.1,1
113087,Q93084,3.6.3.8,1
113092,P98194,3.6.3.8,1
113163,Q04656,3.6.3.54,1
113381,P06576,3.6.3.14,1
113485,Q9NR48,2.1.1.43,1
113607,O14983,3.6.3.8,1
114204,A6ND91,1.4.1.21,1
114359,O94823,3.6.3.1,1
114360,P98196,3.6.3.1,1
114361,Q9Y2G3,3.6.3.1,1
114379,O75185,3.6.3.8,1
114382,Q9NTI2,3.6.3.1,1
114383,O43520,3.6.3.1,1
115194,Q8N3C0,3.6.4.12,1
115233,P00966,6.3.4.5,1
115406,O95260,2.3.2.8,1
115772,Q9Y4B4,3.6.4.12,1
115825,P04424,4.3.2.1,1
116957,Q01814,3.6.3.8,1
116959,P23634,3.6.3.8,1
116962,O60423,3.6.3.1,1
116964,Q6PL18,3.6.1.3,1
117307,Q13535,2.7.11.1,1
117338,P54687,2.6.1.42,1
117418,P35670,3.6.3.54,1
118185,Q99728,2.3.2.27,1
118428,Q92560,3.4.19.12,1
118437,O15382,2.6.1.42,1
118459,P11274,2.7.11.1,1
118671,O75150,2.3.2.27,1
119025,P15056,2.7.11.1,1
119029,Q5VTR2,2.3.2.27,1
119096,Q9UIG0,2.7.10.2,1
119422,O75061,3.1.3.48,1
119425,P27037,2.7.11.30,1
119695,Q13490,2.3.2.27,1
119745,Q9UQB9,2.7.11.1,1
119750,Q13705,2.7.11.30,1
120011,P46100,3.6.4.12,1
120031,O14965,2.7.11.1,1
120627,P54132,3.6.4.12,1
120633,Q13873,2.7.11.30,1
120725,Q6UB35,6.3.4.3,1
121229,Q13489,2.3.2.27,1
121248,P51451,2.7.10.2,1
121291,O43683,2.7.11.1,1
121373,P36894,2.7.11.30,1
121396,P38398,2.3.2.27,1
121504,Q8N1Q1,4.2.1.1,1
121505,Q9ULX7,4.2.1.1,1
121508,P00915,4.2.1.1,1
121512,P07451,4.2.1.1,1
121514,P35218,4.2.1.1,1
121545,O00238,2.7.11.30,1
121554,P51813,2.7.10.2,1
121674,O43570,4.2.1.1,1
121683,Q9Y2D0,4.2.1.1,1
121809,Q96CA5,2.3.2.27,1
122042,Q7Z569,2.3.2.27,1
122315,P04040,1.11.1.6,1
122482,Q00536,2.7.11.22,1
122488,P24941,2.7.11.22,1
122576,P22681,2.3.2.27,1
122627,O00311,2.7.11.1,1
122659,Q8IZL9,2.7.11.22,1
122665,Q00534,2.7.11.22,1
122674,Q8IVW4,2.7.11.22,1
122675,Q5MAI5,2.7.11.22,1
122701,Q92903,2.7.7.41,1
122703,O95674,2.7.7.41,1
122861,Q13191,2.3.2.27,1
122887,Q92793,2.3.1.48,1
122955,P21127,2.7.11.22,1
122982,Q15131,2.7.11.22,1
122988,Q07002,2.7.11.22,1
122997,P11802,2.7.11.22,1
123213,P00918,4.2.1.1,1
123460,O94921,2.7.11.22,1
124483,Q9UQ88,2.7.11.22,1
124523,Q00537,2.7.11.22,1
124550,Q9NZK5,3.5.4.4,1
124666,P23280,4.2.1.1,1
124667,P43166,4.2.1.1,1
124668,Q16790,4.2.1.1,1
124785,Q9ULV8,2.3.2.27,1
124929,Q14839,3.6.4.12,1
124932,Q9HCK8,3.6.4.12,1
