Protein UniProt Acc.,EC Number,isEnzyme
Q96C36,1.5.1.2,1
Q8NDF8,2.7.7.19,1
P51003,2.7.7.19,1
Q9BWT3,2.7.7.19,1
Q460N3,2.4.2.30,1
P35558,4.1.1.32,1
Q9UPQ7,2.3.2.27,1
P26045,3.1.3.48,1
P35236,3.1.3.48,1
P17812,6.3.4.2,1
P17706,3.1.3.48,1
Q16827,3.1.3.48,1
Q13332,3.1.3.48,1
P23471,3.1.3.48,1
Q92626,1.11.1.7,1
Q02127,1.3.5.2,1
P18031,3.1.3.48,1
Q9H3S7,3.1.3.48,1
P23467,3.1.3.48,1
Q12913,3.1.3.48,1
O14522,3.1.3.48,1
Q9NRF8,6.3.4.2,1
Q92729,3.1.3.48,1
Q6GMV3,3.1.1.29,1
P51817,2.7.11.1,1
P21108,2.7.6.1,1
Q86TP1,3.6.1.1,1
P28065,3.4.25.1,1
P43378,3.1.3.48,1
Q9Y3E5,3.1.1.29,1
Q16825,3.1.3.48,1
P54829,3.1.3.48,1
P29350,3.1.3.48,1
P23469,3.1.3.48,1
P23470,3.1.3.48,1
Q9HD43,3.1.3.48,1
P25786,3.4.25.1,1
P25787,3.4.25.1,1
P20618,3.4.25.1,1
Q06124,3.1.3.48,1
Q99952,3.1.3.48,1
O14818,3.4.25.1,1
Q12923,3.1.3.48,1
P29074,3.1.3.48,1
Q15257,5.2.1.8,1
P08575,3.1.3.48,1
P28827,3.1.3.48,1
Q15256,3.1.3.48,1
O14730,2.7.11.1,1
Q8N142,6.3.4.4,1
P30520,6.3.4.4,1
Q9NS91,2.3.2.27,1
P04049,2.7.11.1,1
Q7Z6E9,2.3.2.27,1
P46063,3.6.4.12,1
Q9HBD1,2.3.2.27,1
Q06587,2.3.2.27,1
Q99496,2.3.2.27,1
P57078,2.7.11.1,1
O94762,3.6.4.12,1
Q8NHY2,2.3.2.27,1
Q8TEB9,3.4.21.105,1
O94761,3.6.4.12,1
P07949,2.7.10.1,1
Q9NX52,3.4.21.105,1
Q8WZ73,2.3.2.27,1
Q6PCD5,2.3.2.27,1
Q9BVS4,2.7.11.1,1
Q13546,2.7.11.1,1
Q9Y572,2.7.11.1,1
P23921,1.17.4.1,1
P31350,1.17.4.1,1
Q7LG56,1.17.4.1,1
Q5XPI4,2.3.2.27,1
Q96EQ8,2.3.2.27,1
Q8TEB7,2.3.2.27,1
Q5TA31,2.3.2.27,1
Q86T96,2.3.2.27,1
Q9BUL9,3.1.26.5,1
O95602,2.7.7.6,1
Q9H9Y6,2.7.7.6,1
O00411,2.7.7.6,1
O60930,3.1.26.4,1
Q13464,2.7.11.1,1
P49247,5.3.1.6,1
O75818,3.1.26.5,1
Q9H4L7,3.6.4.12,1
P00441,1.15.1.1,1
P08294,1.15.1.1,1
P19623,2.5.1.16,1
P49903,2.7.9.3,1
Q9HCE7,2.3.2.26,1
Q8NB12,2.1.1.43,1
Q9BXU1,2.7.11.1,1
Q8TDR2,2.7.11.1,1
Q9NRP7,2.7.11.1,1
Q9BSE5,3.5.3.11,1
Q15772,2.7.11.1,1
Q96Q15,2.7.11.1,1
P04179,1.15.1.1,1
P78362,2.7.11.1,1
Q86YV5,2.7.10.2,1
Q9HAU4,2.3.2.26,1
Q9H7B4,2.1.1.43,1
Q9Y5K1,5.99.1.3,1
Q8TEC5,2.3.2.27,1
Q8IUQ4,2.3.2.27,1
Q9UBP0,3.6.4.3,1
Q8WTS6,2.1.1.43,1
Q9H0K1,2.7.11.1,1
Q9H2G2,2.7.11.1,1
P14868,6.1.1.12,1
Q9NSE4,6.1.1.5,1
O94768,2.7.11.1,1
Q15208,2.7.11.1,1
Q9UEW8,2.7.11.1,1
Q6J9G0,2.7.10.2,1
Q9P2J5,6.1.1.4,1
P47897,6.1.1.18,1
Q9P2R7,6.2.1.5,1
P12081,6.1.1.21,1
Q7L3T8,6.1.1.15,1
Q15031,6.1.1.4,1
Q5T160,6.1.1.19,1
A2RTX5,6.1.1.3,1
Q9BW92,6.1.1.3,1
P49590,6.1.1.21,1
P49591,6.1.1.11,1
Q9NP81,6.1.1.11,1
Q8IYB8,3.6.4.13,1
O43463,2.1.1.43,1
Q9NSD9,6.1.1.20,1
P41252,6.1.1.5,1
Q15046,6.1.1.6,1
P56192,6.1.1.10,1
Q96GW9,6.1.1.10,1
O43776,6.1.1.22,1
Q96I59,6.1.1.22,1
Q9UGM6,6.1.1.2,1
P54136,6.1.1.19,1
Q587J7,3.6.4.13,1
Q8NDG6,3.6.4.13,1
P42680,2.7.10.2,1
P37173,2.7.11.30,1
P24752,2.3.1.9,1
P09110,2.3.1.16,1
P37837,2.2.1.2,1
Q9H2K8,2.7.11.1,1
Q7L7X3,2.7.11.1,1
P26640,6.1.1.9,1
P54577,6.1.1.1,1
Q9Y2Z4,6.1.1.1,1
Q9UL54,2.7.11.1,1
Q9UHD2,2.7.11.1,1
P26639,6.1.1.3,1
Q5ST30,6.1.1.9,1
Q96BW9,2.7.7.41,1
Q9UKN8,2.3.1.48,1
Q16762,2.8.1.1,1
P51854,2.2.1.1,1
Q86UE8,2.7.11.1,1
Q9H0I9,2.2.1.1,1
P29401,2.2.1.1,1
Q96JJ7,5.3.4.1,1
P11388,5.99.1.3,1
Q9NS56,2.3.2.27,1
P51580,2.1.1.67,1
P23381,6.1.1.2,1
P48775,1.13.11.11,1
Q15569,2.7.12.1,1
P42765,2.3.1.16,1
Q96S53,2.7.12.1,1
Q9BWD1,2.3.1.9,1
Q13263,2.3.2.27,1
Q9UKI8,2.7.11.1,1
Q9UKE5,2.7.11.1,1
Q9H2K2,2.4.2.30,1
Q969P6,5.99.1.2,1
A0AVI4,2.3.2.27,1
P60174,5.3.1.1,1
Q9UPN9,2.3.2.27,1
Q969Q1,2.3.2.27,1
Q13470,2.7.10.2,1
Q96KB5,2.7.12.2,1
Q9Y4K3,2.3.2.27,1
Q6IQ55,2.7.11.1,1
P33981,2.7.12.1,1
P42681,2.7.10.2,1
Q06418,2.7.10.1,1
P36406,2.3.2.27,1
Q9HCM9,2.3.2.27,1
Q86XT4,2.3.2.27,1
Q8NG06,2.3.2.27,1
Q6AZZ1,2.3.2.27,1
Q9UJV3,2.3.2.27,1
Q9C026,2.3.2.27,1
Q14669,2.3.2.26,1
Q9UBP6,2.1.1.33,1
Q96PN8,2.7.11.1,1
O15164,2.3.2.27,1
Q9BX84,2.7.11.1,1
P07478,3.4.21.4,1
P35030,3.4.21.4,1
Q8NHM4,3.4.21.4,1
O00635,2.3.2.27,1
Q9BVG3,2.3.2.27,1
Q9C040,2.3.2.27,1
Q8N9V2,2.3.2.27,1
Q96Q11,2.7.7.72,1
Q16881,1.8.1.9,1
P35590,2.7.10.1,1
Q59H18,2.7.11.1,1
Q13472,5.99.1.2,1
O75365,3.1.3.48,1
Q96QT4,2.7.11.1,1
Q02880,5.99.1.3,1
Q93096,3.1.3.48,1
Q12974,3.1.3.48,1
Q8IYM9,2.3.2.27,1
P14373,2.3.2.27,1
Q86WT6,2.3.2.27,1
Q9C037,2.3.2.27,1
Q9C035,2.3.2.27,1
Q9NXH9,2.1.1.216,1
Q12933,2.3.2.27,1
Q6Q0C0,2.3.2.27,1
Q9BWF2,2.3.2.27,1
Q96F44,2.3.2.27,1
Q9BZY9,2.3.2.27,1
Q8WV44,2.3.2.27,1
Q9BZR9,2.3.2.27,1
Q8N7C3,2.3.2.27,1
O75962,2.7.11.1,1
Q32P41,2.1.1.228,1
O95271,2.4.2.30,1
O95985,5.99.1.2,1
O60858,2.3.2.27,1
O15344,2.3.2.27,1
Q13049,2.3.2.27,1
Q9BRZ2,2.3.2.27,1
Q96PF2,2.7.11.1,1
Q5TCY1,2.7.11.1,1
P61086,2.3.2.23,1
Q9NPD8,2.3.2.23,1
Q9H832,2.3.2.23,1
Q05086,2.3.2.26,1
Q14139,2.3.2.27,1
Q9Y5T5,3.4.19.12,1
Q9HBJ7,3.4.19.12,1
Q70CQ3,3.4.19.12,1
Q6R6M4,3.4.19.12,1
D6RBQ6,3.4.19.12,1
A1L167,2.3.2.23,1
P60604,2.3.2.23,1
Q7Z7E8,2.3.2.23,1
Q7Z3V4,2.3.2.26,1
O94782,3.4.19.12,1
Q70CQ4,3.4.19.12,1
Q9H0E7,3.4.19.12,1
Q8IWV7,2.3.2.27,1
Q6ZT12,2.3.2.27,1
Q9HAW8,2.4.1.17,1
Q6NUS8,2.4.1.17,1
Q9NNW7,1.8.1.9,1
P07477,3.4.21.4,1
Q9BXA7,2.7.11.1,1
Q6SA08,2.7.11.1,1
Q9BXA6,2.7.11.1,1
P29597,2.7.10.2,1
Q7RTZ2,3.4.19.12,1
A8MUK1,3.4.19.12,1
Q9Y2X8,2.3.2.23,1
Q9Y385,2.3.2.23,1
O14933,2.3.2.23,1
Q8WVY7,3.1.3.16,1
P61088,2.3.2.23,1
Q7Z6J8,2.3.2.26,1
P53804,2.3.2.27,1
C9J2P7,3.4.19.12,1
D6R901,3.4.19.12,1
O75643,3.6.4.13,1
P62253,2.3.2.23,1
Q712K3,2.3.2.23,1
O75317,3.4.19.12,1
Q9Y2K6,3.4.19.12,1
O75604,3.4.19.12,1
Q86UV5,3.4.19.12,1
Q70EK9,3.4.19.12,1
Q93009,3.4.19.12,1
Q9Y5K5,3.4.19.12,1
Q9HA47,2.7.1.48,1
P22310,2.4.1.17,1
P30530,2.7.10.1,1
C9JPN9,3.4.19.12,1
A6NCW0,3.4.19.12,1
C9JJH3,3.4.19.12,1
D6R9N7,3.4.19.12,1
Q0WX57,3.4.19.12,1
Q9UPU5,3.4.19.12,1
Q9BXU7,3.4.19.12,1
Q96RU2,3.4.19.12,1
Q9P275,3.4.19.12,1
Q8NB14,3.4.19.12,1
Q9Y6I4,3.4.19.12,1
Q96K76,3.4.19.12,1
Q13107,3.4.19.12,1
P15374,3.4.19.12,1
Q9NWZ5,2.7.1.48,1
Q9HAW7,2.4.1.17,1
Q3SY77,2.4.1.17,1
P49459,2.3.2.23,1
P54578,3.4.19.12,1
Q9Y4E8,3.4.19.12,1
Q9UPT9,3.4.19.12,1
A6NNY8,3.4.19.12,1
Q70EL4,3.4.19.12,1
Q9Y606,5.4.99.12,1
Q16763,2.3.2.23,1
Q15386,2.3.2.26,1
Q9UK80,3.4.19.12,1
Q8IWV8,2.3.2.27,1
O95071,2.3.2.26,1
P35504,2.4.1.17,1
P35503,2.4.1.17,1
P30291,2.7.10.2,1
P98170,2.3.2.27,1
P38606,3.6.3.14,1
Q9BYP7,2.7.11.1,1
Q9H0M0,2.3.2.26,1
O00507,3.4.19.12,1
Q96JH7,3.4.19.12,1
Q99986,2.7.11.1,1
Q9Y4B6,2.7.11.1,1
P0C1S8,2.7.10.2,1
P35916,2.7.10.1,1
O43895,3.4.11.9,1
Q9NQH7,3.4.11.9,1
Q9Y3S1,2.7.11.1,1
Q96J92,2.7.11.1,1
Q86Y07,2.7.11.1,1
O00308,2.3.2.26,1
Q9H4A3,2.7.11.1,1
Q9NQW7,3.4.11.9,1
Q8WTS1,2.3.1.51,1
P00813,3.5.4.4,1
Q96PN6,4.6.1.1,1
Q2M2I8,2.7.11.1,1
P42684,2.7.10.2,1
Q96GR2,6.2.1.3,1
P46952,1.13.11.6,1
Q9BXI3,3.1.3.5,1
O95336,3.1.1.31,1
P00519,2.7.10.2,1
P37023,2.7.11.30,1
Q9NUB1,6.2.1.1,1
O95573,6.2.1.3,1
Q08828,4.6.1.1,1
O60266,4.6.1.1,1
O43306,4.6.1.1,1
P06280,3.2.1.22,1
P49902,3.1.3.5,1
P21589,3.1.3.5,1
Q9UKV5,2.3.2.27,1
Q9UKU0,6.2.1.3,1
Q9H6R3,6.2.1.1,1
P07311,3.6.1.7,1
Q08462,4.6.1.1,1
O60503,4.6.1.1,1
P08319,1.1.1.1,1
Q16671,2.7.11.30,1
P00325,1.1.1.1,1
P28332,1.1.1.1,1
P30837,1.2.1.3,1
P51648,1.2.1.3,1
P30038,1.2.1.88,1
P07327,1.1.1.1,1
P00326,1.1.1.1,1
P40394,1.1.1.1,1
Q9Y243,2.7.11.1,1
P05062,4.1.2.13,1
Q5FVE4,6.2.1.3,1
Q6ZNF0,3.1.3.2,1
O60488,6.2.1.3,1
Q8NFM4,4.6.1.1,1
O95622,4.6.1.1,1
P51828,4.6.1.1,1
P40145,4.6.1.1,1
P36896,2.7.11.30,1
P14621,3.6.1.7,1
P05091,1.2.1.3,1
P10398,2.7.11.1,1
P04075,4.1.2.13,1
P09972,4.1.2.13,1
O15033,2.3.2.26,1
Q8NFD2,2.7.11.1,1
P07741,2.4.2.7,1
P20020,3.6.3.8,1
Q16720,3.6.3.8,1
Q8NBU5,3.6.1.3,1
O75110,3.6.3.1,1
O43861,3.6.3.1,1
Q9Y2Q0,3.6.3.1,1
Q8TF62,3.6.3.1,1
Q9H3M9,3.4.19.12,1
P54252,3.4.19.12,1
Q96GD4,2.7.11.1,1
O60312,3.6.3.1,1
P98198,3.6.3.1,1
P15336,2.3.1.48,1
Q8NB49,3.6.3.1,1
Q93084,3.6.3.8,1
P98194,3.6.3.8,1
Q04656,3.6.3.54,1
P06576,3.6.3.14,1
Q9NR48,2.1.1.43,1
O14983,3.6.3.8,1
A6ND91,1.4.1.21,1
O94823,3.6.3.1,1
P98196,3.6.3.1,1
Q9Y2G3,3.6.3.1,1
O75185,3.6.3.8,1
Q9NTI2,3.6.3.1,1
O43520,3.6.3.1,1
Q8N3C0,3.6.4.12,1
P00966,6.3.4.5,1
O95260,2.3.2.8,1
Q9Y4B4,3.6.4.12,1
P04424,4.3.2.1,1
Q01814,3.6.3.8,1
P23634,3.6.3.8,1
O60423,3.6.3.1,1
Q6PL18,3.6.1.3,1
Q13535,2.7.11.1,1
P54687,2.6.1.42,1
P35670,3.6.3.54,1
Q99728,2.3.2.27,1
Q92560,3.4.19.12,1
O15382,2.6.1.42,1
P11274,2.7.11.1,1
O75150,2.3.2.27,1
P15056,2.7.11.1,1
Q5VTR2,2.3.2.27,1
Q9UIG0,2.7.10.2,1
O75061,3.1.3.48,1
P27037,2.7.11.30,1
Q13490,2.3.2.27,1
Q9UQB9,2.7.11.1,1
Q13705,2.7.11.30,1
P46100,3.6.4.12,1
O14965,2.7.11.1,1
P54132,3.6.4.12,1
Q13873,2.7.11.30,1
Q6UB35,6.3.4.3,1
Q13489,2.3.2.27,1
P51451,2.7.10.2,1
O43683,2.7.11.1,1
P36894,2.7.11.30,1
P38398,2.3.2.27,1
Q8N1Q1,4.2.1.1,1
Q9ULX7,4.2.1.1,1
P00915,4.2.1.1,1
P07451,4.2.1.1,1
P35218,4.2.1.1,1
O00238,2.7.11.30,1
P51813,2.7.10.2,1
O43570,4.2.1.1,1
Q9Y2D0,4.2.1.1,1
Q96CA5,2.3.2.27,1
Q7Z569,2.3.2.27,1
P04040,1.11.1.6,1
Q00536,2.7.11.22,1
P24941,2.7.11.22,1
P22681,2.3.2.27,1
O00311,2.7.11.1,1
Q8IZL9,2.7.11.22,1
Q00534,2.7.11.22,1
Q8IVW4,2.7.11.22,1
Q5MAI5,2.7.11.22,1
Q92903,2.7.7.41,1
O95674,2.7.7.41,1
Q13191,2.3.2.27,1
Q92793,2.3.1.48,1
P21127,2.7.11.22,1
Q15131,2.7.11.22,1
Q07002,2.7.11.22,1
P11802,2.7.11.22,1
P00918,4.2.1.1,1
O94921,2.7.11.22,1
Q9UQ88,2.7.11.22,1
Q00537,2.7.11.22,1
Q9NZK5,3.5.4.4,1
P23280,4.2.1.1,1
P43166,4.2.1.1,1
Q16790,4.2.1.1,1
Q9ULV8,2.3.2.27,1
Q14839,3.6.4.12,1
Q9HCK8,3.6.4.12,1
Q9NPC3,2.3.2.27,1
Q9HAZ1,2.7.12.1,1
Q9Y6F8,2.3.1.48,1
Q9Y232,2.3.1.48,1
Q9BZP6,3.2.1.14,1
Q9Y6F7,2.3.1.48,1
Q86WJ1,3.6.4.12,1
O76039,2.7.11.22,1
P49761,2.7.12.1,1
Q00532,2.7.11.22,1
P00450,1.16.3.1,1
Q3L8U1,3.6.4.12,1
O14647,3.6.4.12,1
Q12873,3.6.4.12,1
Q96EP1,2.3.2.27,1
Q13231,3.2.1.14,1
P32320,3.5.4.5,1
Q00526,2.7.11.22,1
Q00535,2.7.11.1,1
Q8TDI0,3.6.4.12,1
Q9P2D1,3.6.4.12,1
O95476,3.1.3.16,1
Q9UFF9,3.1.13.4,1
Q86W10,1.14.14.1,1
A0A087X1C5,1.14.14.1,1
Q7Z449,1.14.14.1,1
P24462,1.14.14.1,1
O15516,2.3.1.48,1
P49760,2.7.12.1,1
Q96LI5,3.1.13.4,1
O95628,2.3.2.27,1
Q9ULM6,3.1.13.4,1
O14757,2.7.11.1,1
Q9UIV1,3.1.13.4,1
Q9H078,3.6.1.3,1
Q16740,3.4.21.92,1
P00395,1.9.3.1,1
P20853,1.14.14.1,1
P10635,1.14.14.1,1
Q16696,1.14.14.1,1
P10632,1.14.14.1,1
Q9BRF8,3.1.3.16,1
P07333,2.7.10.1,1
O14595,3.1.3.16,1
P05177,1.14.14.1,1
P13584,1.14.14.1,1
Q8NEV1,2.7.11.1,1
P24903,1.14.14.1,1
P20815,1.14.14.1,1
P98187,1.14.14.1,1
Q9GZU7,3.1.3.16,1
P51589,1.14.14.1,1
P68400,2.7.11.1,1
P19784,2.7.11.1,1
P41240,2.7.10.2,1
P04798,1.14.14.1,1
P33260,1.14.14.1,1
Q96SQ9,1.14.14.1,1
Q9HB55,1.14.14.1,1
Q9HCS2,1.14.14.1,1
Q8N118,1.14.14.1,1
Q9UHL0,3.6.4.13,1
O00571,3.6.4.13,1
Q8NHQ9,3.6.4.13,1
Q5H9U9,3.6.4.13,1
P26196,3.6.4.13,1
O14936,2.7.11.1,1
O14578,2.7.11.1,1
P61803,2.4.99.18,1
Q9NQC7,3.4.19.12,1
A8MPP1,3.6.4.13,1
P53355,2.7.11.1,1
O43293,2.7.11.1,1
Q9NXZ2,3.6.4.13,1
Q9H0S4,3.6.4.13,1
Q8N8A6,3.6.4.13,1
Q9NY93,3.6.4.13,1
O95786,3.6.4.13,1
Q9C098,2.7.11.1,1
Q9NXB9,2.3.1.199,1
Q9GZR5,2.3.1.199,1
P21709,2.7.10.1,1
P29317,2.7.10.1,1
P54764,2.7.10.1,1
Q15375,2.7.10.1,1
P54753,2.7.10.1,1
P04626,2.7.10.1,1
Q2NKX8,3.6.4.12,1
Q9HB03,2.3.1.199,1
Q9NYP7,2.3.1.199,1
Q9UF33,2.7.10.1,1
Q5JZY3,2.7.10.1,1
P09467,3.1.3.11,1
P09104,4.2.1.11,1
Q6UWW8,3.1.1.1,1
O95677,3.1.3.48,1
Q05397,2.7.10.2,1
O00167,3.1.3.48,1
Q15910,2.1.1.43,1
Q4G0A6,3.4.19.12,1
O15075,2.7.11.1,1
Q8N568,2.7.11.1,1
Q9NUU7,3.6.4.13,1
Q92499,3.6.4.13,1
Q9BUQ8,3.6.4.13,1
Q9NUL7,3.6.4.13,1
Q9H8H2,3.6.4.13,1
O15523,3.6.4.13,1
Q9HBH1,3.5.1.88,1
Q13206,3.6.4.13,1
Q96FC9,3.6.4.12,1
Q9UJV9,3.6.4.13,1
Q5T1V6,3.6.4.13,1
Q8IY21,3.6.4.13,1
P18858,6.5.1.1,1
P49917,6.5.1.1,1
P23743,2.7.1.107,1
Q16760,2.7.1.107,1
P49619,2.7.1.107,1
O43143,3.6.4.13,1
O60231,3.6.4.13,1
Q7L2E3,3.6.4.13,1
Q7L7V1,3.6.4.13,1
O75912,2.7.1.107,1
P52824,2.7.1.107,1
Q96C10,3.6.4.13,1
P52429,2.7.1.107,1
Q5KSL6,2.7.1.107,1
Q9H6R0,3.6.4.13,1
Q9H5Z1,3.6.4.13,1
Q8IY37,3.6.4.13,1
P49916,6.5.1.1,1
Q92771,3.6.4.13,1
Q9GZR7,3.6.4.13,1
Q7L014,3.6.4.13,1
Q9Y6V7,3.6.4.13,1
Q86TM3,3.6.4.13,1
Q8TDD1,3.6.4.13,1
Q14147,3.6.4.13,1
